base_index,length,fidelity_min,fidelity_max,ambiguity_diameter,minimax_abs_lower_bound,bayes_mae_lower_bound,exact_marginal_fidelity,exact_composition_grid_mae,fraction_grid_error_above_0p05
192,24,0.5511811549143554,0.6857551161986801,0.13457396128432475,0.06728698064216238,0.027952665643903404,0.833079820877199,0.25092356569856955,1.0
193,8,0.8002984607120094,0.8515988190662023,0.05130035835419289,0.025650179177096444,0.013640706615195054,0.9552724580658583,0.12775860535990127,1.0
194,24,0.5497955842633853,0.629957950317522,0.08016236605413674,0.04008118302706837,0.0154371463417881,0.8336091938794641,0.2655985648941419,1.0
195,16,0.4349010881942693,0.541415166715318,0.10651407852104866,0.05325703926052433,0.028794183875901127,0.8455788134081954,0.35809693365993833,1.0
196,16,0.4976816200010683,0.5966241341436004,0.09894251414253208,0.04947125707126604,0.02675524899433355,0.8788544710794095,0.3325829979812513,1.0
197,16,0.4921789963993172,0.5816060790936213,0.08942708269430405,0.044713541347152025,0.02445128280155708,0.8580578033113281,0.3236789963540516,1.0
198,24,0.5004730920845084,0.7257381492594566,0.22526505717494816,0.11263252858747408,0.053007249593771,0.7731750076475375,0.21177782577363097,0.9333333333333333
199,24,0.496575712710053,0.6816553115240027,0.1850795988139497,0.09253979940697485,0.04136357450917368,0.7894804605657976,0.2478515127668103,1.0
200,24,0.49613540669137535,0.6196993588477113,0.12356395215633598,0.06178197607816799,0.024227661106929962,0.823071337582306,0.299246656673763,1.0
201,16,0.4782471550678505,0.5685737146847629,0.09032655961691244,0.04516327980845622,0.02474745743484831,0.8761614078162161,0.3561678087932786,1.0
202,16,0.5176771582846694,0.6278238253974735,0.11014666711280408,0.05507333355640204,0.029511955082683065,0.8812414415127809,0.3069251834563813,1.0
203,24,0.5820278294184011,0.6140536745908822,0.03202584517248108,0.01601292258624054,0.00848193008738823,0.8625785337862377,0.26906720998606665,1.0
204,16,0.4668043601682655,0.5533521959177166,0.08654783574945107,0.04327391787472554,0.02362385692630537,0.8537550226304975,0.34651758828809015,1.0
